Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
40,617,41,May 16,PIT,,MIL,W7-1,CG,5,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.265,.333,.424,.757,3,.59,-0.013,.72,-0.01%,0.23,CF
41,618,42,May 17,PIT,,HOU,W5-4,CG,5,5,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,.276,.341,.455,.796,3,1.04,0.423,1.15,0.28%,2.68,CF
42,619,43,May 18,PIT,,HOU,L2-4,CG(11),5,4,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,.281,.348,.469,.817,3,1.40,0.117,1.64,0.08%,1.07,CF
43,620,45 (1),May 21,PIT,,CHC,W5-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.341,.457,.798,3,1.42,-0.128,1.75,-0.10%,-1.56,CF
44,621,46,May 22,PIT,,CHC,W1-0,CG,4,4,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,.280,.344,.470,.814,3,.71,0.098,.88,0.07%,0.88,CF
45,622,47,May 23,PIT,,CHC,W4-2,CG,4,4,1,3,0,0,0,2,0,0,1,0,0,0,0,0,2,0,.291,.353,.477,.829,3,.63,0.160,.78,0.12%,1.93,CF
46,623,48,May 24,PIT,@,MIL,L1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.351,.472,.822,3,1.23,0.062,1.49,0.05%,-0.03,CF
47,624,49,May 25,PIT,@,MIL,W5-2,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,.294,.354,.489,.842,3,.43,0.052,.52,0.04%,-0.27,CF
48,625,50,May 26,PIT,@,MIL,W5-4,CG,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.297,.355,.486,.841,3,.74,-0.038,.91,-0.03%,-0.32,CF
49,626,51,May 27,PIT,@,DET,L5-6,CG,5,3,0,0,0,0,0,1,1,0,2,0,0,1,0,0,2,0,.293,.351,.479,.830,3,1.59,-0.071,1.89,-0.05%,0.25,CF
50,627,52,May 28,PIT,@,DET,W1-0,CG(11),5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.290,.347,.472,.819,3,1.40,-0.123,1.65,-0.09%,-0.73,CF
51,628,53,May 29,PIT,,DET,W5-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.289,.346,.467,.813,3,.78,-0.082,.91,-0.06%,-0.67,CF
52,629,54,May 30,PIT,,DET,W1-0,CG(11),5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.290,.351,.465,.816,3,1.74,0.051,2.04,0.04%,0.40,CF
53,630,55,May 31,PIT,,CIN,L0-6,CG,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.287,.351,.460,.812,3,1.27,-0.027,1.81,-0.02%,-0.04,CF
54,631,56,Jun 1,PIT,,CIN,L0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.345,.451,.796,3,1.97,-0.210,2.85,-0.18%,-1.25,CF
55,632,57,Jun 2,PIT,,CIN,W5-4,CG(11),5,5,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.284,.346,.450,.796,4,1.14,0.065,1.56,0.05%,0.63,CF
