Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
85,85,108,Jul 31,PIT,@,CIN,L1-4,CG,4,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.324,.396,.503,.900,2,.88,-0.093,.08,-0.01%,-0.71,,,RF
86,86,109,Aug 2,PIT,,NYM,W8-4,CG,5,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.324,.399,.502,.901,2,.76,0.025,.05,0.00%,0.44,,,LF
87,87,110,Aug 3,PIT,,NYM,L5-7,CG,5,4,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.408,.512,.920,2,.80,0.218,.06,0.01%,2.41,,,LF
88,88,111,Aug 4,PIT,,NYM,L2-13,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.332,.406,.508,.915,2,.18,0.020,.01,0.00%,-0.19,,,LF
89,89,112,Aug 5,PIT,,MIL,L7-9,CG,5,5,2,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.337,.409,.523,.932,2,.80,0.078,.04,0.00%,1.00,,,LF
90,90,113,Aug 6,PIT,,MIL,L3-4,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.335,.407,.529,.936,2,1.29,0.025,.03,0.00%,0.35,,,LF
91,91,114,Aug 7,PIT,,MIL,L3-8,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.334,.406,.525,.931,2,.46,-0.031,.01,0.00%,0.42,,,LF
92,92,115,Aug 9,PIT,@,STL,L2-6,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.331,.404,.521,.924,2,.94,-0.050,.01,0.00%,-0.25,,,RF
93,93,116,Aug 10,PIT,@,STL,L1-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.330,.402,.517,.919,2,1.09,0.031,.01,0.00%,0.21,,,LF
94,94,117,Aug 11,PIT,@,STL,L9-11,CG,5,4,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,.335,.408,.526,.934,2,.84,0.163,.00,0.00%,2.01,,,RF
95,95,118,Aug 12,PIT,@,LAA,W10-2,CG,5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.333,.405,.530,.935,2,.44,-0.025,.00,0.00%,-0.01,,,LF
96,96,119,Aug 13,PIT,@,LAA,W10-7,CG,6,4,3,3,0,0,1,1,2,0,1,0,0,0,0,0,0,0,.338,.412,.542,.954,2,.79,0.058,.00,0.00%,1.68,,,LF
97,97,120,Aug 14,PIT,@,LAA,L4-7,CG,4,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.335,.410,.537,.947,2,1.40,-0.061,.01,0.00%,-0.20,,,LF
98,98,121,Aug 16,PIT,,CHC,W3-2,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.334,.408,.534,.942,2,1.41,-0.014,.00,0.00%,-0.94,,,LF
99,99,122,Aug 17,PIT,,CHC,L0-2,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.329,.403,.526,.929,2,2.22,-0.288,.00,0.00%,-2.19,,,LF
100,100,123,Aug 18,PIT,,CHC,L1-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.326,.399,.520,.919,5,.58,0.029,.00,0.00%,-0.34,,,LF
101,101,124,Aug 19,PIT,,WSN,L0-13,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.326,.400,.521,.921,2,.13,-0.010,.00,0.00%,0.62,,,LF
102,102,125,Aug 20,PIT,,WSN,W4-1,CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.323,.396,.517,.913,2,2.05,-0.134,.00,0.00%,-1.14,,,LF
103,103,126,Aug 21,PIT,,WSN,L1-11,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.325,.397,.517,.914,2,.27,0.012,.00,0.00%,0.30,,,LF
104,104,127,Aug 22,PIT,,WSN,L1-7,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.324,.396,.514,.909,2,.60,-0.025,.00,0.00%,-0.44,,,LF
105,105,128,Aug 23,PIT,,CIN,W3-2,CG,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,.324,.397,.515,.912,2,1.48,0.073,.00,0.00%,0.67,,,LF
106,106,129,Aug 24,PIT,,CIN,W14-0,CG,5,4,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.326,.399,.518,.917,2,.65,0.223,.00,0.00%,2.02,,,LF
107,107,130,Aug 25,PIT,,CIN,W9-8,CG,5,4,1,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,.328,.401,.523,.924,2,1.20,0.362,.00,0.00%,3.31,,,LF
